record_id,record_type,company_name,owner,stage,source,annual_contract_value,days_in_stage,last_activity_at,next_step,close_date,contact_title,notes
L-100,lead,Northstar Health,Alicia,new,inbound,12000,4,2026-03-12T15:00:00,Schedule qualification call,2026-04-10,Director of Operations,"Requested demo after webinar. Budget confirmed. Team asked for a tailored walkthrough next week."
O-200,opportunity,BluePeak Logistics,Marcus,proposal,referral,78000,26,2026-03-01T17:30:00,,2026-03-25,VP Operations,"Champion left the company. Competitor mentioned in last call. Buyer asked who else can approve the project."
O-201,opportunity,Acme Robotics,Jules,discovery,outbound,34000,18,2026-03-03T14:00:00,Send mutual action plan,2026-04-05,Head of RevOps,"Good discovery with clear pain, but no response since follow-up. Internal notes mention procurement may slow things down."
O-202,opportunity,Delta Bio,Nina,demo,inbound,150000,9,2026-03-01T19:00:00,Confirm technical validation meeting,2026-03-28,CIO,"Budget confirmed and strong executive support. Buyer wants security review completed before commercial discussion."
L-101,lead,Harbor Retail,Sam,new,partner,9000,11,2026-02-28T13:00:00,,2026-04-20,Revenue Manager,"No response after initial outreach. Contact opened the first note but has not replied."
O-203,opportunity,Quartz Security,Devon,negotiation,conference,56000,24,2026-03-02T12:00:00,Share pricing revision,2026-03-22,Chief Security Officer,"Competitor mentioned, procurement asks for revised pricing, and legal review is still open."
O-204,opportunity,Atlas Cloud,Maya,proposal,inbound,92000,16,2026-02-27T16:30:00,,2026-03-24,VP Finance,"Budget confirmed. Requested demo recap for CFO. No seller follow-up logged after the pricing review."
L-102,lead,Beacon Manufacturing,Jordan,qualifying, webinar ,18000,6,2026-03-11T10:15:00,  Send demo availability options  ,2026-04-18,Operations Director,"Requested demo after webinar. Evaluating in Q2 and comparing two vendors."
O-205,opportunity,Cedar Analytics,Priya,discovery,outbound,47000,14,2026-03-13T09:45:00,Send ROI model,2026-04-12,VP Strategy,"Positive champion feedback. ROI review is already booked for next week, and no major blockers are surfaced."
O-206,opportunity,Elm Commerce,Rafael,proposal,partner,61000,20,2026-03-04T11:20:00,TBD - confirm legal owner,2026-03-27,Head of Sales Ops,"Budget confirmed, but notes are messy. Asked for updated order form, then went quiet. Need to confirm if legal or pricing is blocking."
